address,year
"г. Пермь, ул. Академика Веденеева, д. 24",1953
"г. Пермь, ул. Академика Веденеева, д. 31/1",1995
"г. Пермь, ул. Академика Веденеева, д. 42",1952
"г. Пермь, ул. Академика Веденеева, д. 43",1950
"г. Пермь, ул. Академика Веденеева, д. 44",1952
"г. Пермь, ул. Академика Веденеева, д. 46",1952
"г. Пермь, ул. Академика Веденеева, д. 47",1951
"г. Пермь, ул. Академика Веденеева, д. 48",1952
"г. Пермь, ул. Академика Веденеева, д. 49",1951
"г. Пермь, ул. Академика Веденеева, д. 50",1952
"г. Пермь, ул. Академика Веденеева, д. 51",1977
"г. Пермь, ул. Академика Веденеева, д. 52",2014
"г. Пермь, ул. Академика Веденеева, д. 53",1974
"г. Пермь, ул. Академика Веденеева, д. 55",1975
"г. Пермь, ул. Академика Веденеева, д. 77",1961
"г. Пермь, ул. Академика Веденеева, д. 77",1961
"г. Пермь, ул. Академика Веденеева, д. 79",1961
"г. Пермь, ул. Академика Веденеева, д. 80",1982
"г. Пермь, ул. Академика Веденеева, д. 81",1961
"г. Пермь, ул. Академика Веденеева, д. 82",1969
"г. Пермь, ул. Академика Веденеева, д. 84",1962
"г. Пермь, ул. Академика Веденеева, д. 85",1967
"г. Пермь, ул. Академика Веденеева, д. 86",1965
"г. Пермь, ул. Академика Веденеева, д. 90",1966
"г. Пермь, ул. Академика Веденеева, д. 92",1974
"г. Пермь, ул. Академика Королева, д. 4, к. А",1990
"г. Пермь, ул. Академика Королева, д. 6",1987
"г. Пермь, ул. Академика Королева, д. 8",1987
"г. Пермь, ул. Академика Королева, д. 12",1977
"г. Пермь, ул. Академика Королева, д. 14",1992
"г. Пермь, ул. Академика Курчатова, д. 1",1969
"г. Пермь, ул. Академика Курчатова, д. 1, к. б",1972
"г. Пермь, ул. Академика Курчатова, д. 2",1970
"г. Пермь, ул. Академика Курчатова, д. 3",1969
"г. Пермь, ул. Академика Курчатова, д. 4",1968
"г. Пермь, ул. Академика Курчатова, д. 4А",1984
"г. Пермь, ул. Академика Курчатова, д. 5",1968
"г. Пермь, ул. Академика Курчатова, д. 6",1969
"г. Пермь, ул. Академика Курчатова, д. 7",1969
"г. Пермь, ул. Академика Курчатова, д. 9",1968
"г. Пермь, ул. Александра Матросова, д. 4",1966
"г. Пермь, ул. Александра Матросова, д. 6",1971
"г. Пермь, ул. Александра Невского, д. 2",1954
"г. Пермь, ул. Александра Невского, д. 8",1953
"г. Пермь, ул. Александра Невского, д. 10",1954
"г. Пермь, ул. Александра Невского, д. 10, к. А",1954
"г. Пермь, ул. Александра Невского, д. 10а",1954
"г. Пермь, ул. Александра Невского, д. 12, к. а",1954
"г. Пермь, ул. Александра Невского, д. 12А",1954
"г. Пермь, ул. Александра Невского, д. 14",1954
"г. Пермь, ул. Александра Невского, д. 18",1953
"г. Пермь, ул. Александра Невского, д. 22",1956
"г. Пермь, ул. Александра Невского, д. 24",1957
"г. Пермь, ул. Александра Невского, д. 27",1961
"г. Пермь, ул. Александра Невского, д. 28",1957
