address,year,Lon,Lat
"г. Пермь, ул. Академика Веденеева, д. 42",1952,56.376713,58.109139
"г. Пермь, ул. Академика Веденеева, д. 43",1950,56.377611,58.109338
"г. Пермь, ул. Академика Веденеева, д. 44",1952,56.377378,58.108806
"г. Пермь, ул. Академика Веденеева, д. 46",1952,56.377504,58.108468
"г. Пермь, ул. Академика Веденеева, д. 47",1951,56.378743,58.108592
"г. Пермь, ул. Академика Веденеева, д. 48",1952,56.378106,58.108345
"г. Пермь, ул. Академика Веденеева, д. 49",1951,56.379094,58.108354
"г. Пермь, ул. Академика Веденеева, д. 50",1952,56.378573,58.108097
"г. Пермь, ул. Академика Веденеева, д. 51",1977,56.380513,58.10765
"г. Пермь, ул. Академика Веденеева, д. 52",2014,56.379004,58.107536
"г. Пермь, ул. Академика Веденеева, д. 53",1974,56.38195,58.108002
"г. Пермь, ул. Академика Веденеева, д. 55",1975,56.383163,58.107988
"г. Пермь, ул. Академика Веденеева, д. 77",1961,56.384717,58.105016
"г. Пермь, ул. Академика Веденеева, д. 77",1961,56.384717,58.105016
"г. Пермь, ул. Академика Веденеева, д. 79",1961,56.385597,58.104526
"г. Пермь, ул. Академика Веденеева, д. 80",1982,56.382301,58.105668
"г. Пермь, ул. Академика Веденеева, д. 81",1961,56.386604,58.104222
"г. Пермь, ул. Академика Веденеева, д. 82",1969,56.384187,58.104731
"г. Пермь, ул. Академика Веденеева, д. 84",1962,56.384888,58.104303
"г. Пермь, ул. Академика Веденеева, д. 85",1967,56.387861,58.103185
"г. Пермь, ул. Академика Веденеева, д. 86",1965,56.385436,58.103704
"г. Пермь, ул. Академика Веденеева, д. 90",1966,56.38734,58.10289
"г. Пермь, ул. Академика Веденеева, д. 92",1974,56.387789,58.102372
"г. Пермь, ул. Академика Королева, д. 4, к. А",1990,56.22108,58.050783
"г. Пермь, ул. Академика Королева, д. 6",1987,56.219894,58.050626
"г. Пермь, ул. Академика Королева, д. 8",1987,56.218691,58.050283
"г. Пермь, ул. Академика Королева, д. 12",1977,56.217613,58.050821
